utc_iso,sun_az_deg_from_north,sun_el_deg
2026-05-15T03:20:00Z,66.2683,8.4848
2026-05-15T03:30:00Z,68.3676,9.6122
2026-05-15T03:40:00Z,70.4645,10.7583
2026-05-15T03:50:00Z,72.5608,11.921
2026-05-15T04:00:00Z,74.6581,13.0984
2026-05-15T04:10:00Z,76.7584,14.2887
2026-05-15T04:20:00Z,78.8636,15.4902
2026-05-15T04:30:00Z,80.9756,16.7011
2026-05-15T04:40:00Z,83.0965,17.9197
2026-05-15T04:50:00Z,85.2286,19.1441
2026-05-15T05:00:00Z,87.3742,20.3728
2026-05-15T05:10:00Z,89.5355,21.6039
2026-05-15T05:20:00Z,91.7149,22.8356
2026-05-15T05:30:00Z,93.9152,24.0662
2026-05-15T05:40:00Z,96.1387,25.2937
2026-05-15T05:50:00Z,98.3883,26.5162
2026-05-15T06:00:00Z,100.6666,27.7318
2026-05-15T06:10:00Z,102.9766,28.9383
2026-05-15T06:20:00Z,105.3212,30.1338
2026-05-15T06:30:00Z,107.7032,31.3159
2026-05-15T06:40:00Z,110.1256,32.4824
2026-05-15T06:50:00Z,112.5916,33.6309
2026-05-15T07:00:00Z,115.1039,34.7589
2026-05-15T07:10:00Z,117.6657,35.8638
2026-05-15T07:20:00Z,120.2796,36.9429
2026-05-15T07:30:00Z,122.9486,37.9934
2026-05-15T07:40:00Z,125.6751,39.0125
2026-05-15T07:50:00Z,128.4614,39.997
2026-05-15T08:00:00Z,131.3095,40.9438
2026-05-15T08:10:00Z,134.221,41.8498
2026-05-15T08:20:00Z,137.1971,42.7117
2026-05-15T08:30:00Z,140.2383,43.5262
2026-05-15T08:40:00Z,143.3444,44.2898
2026-05-15T08:50:00Z,146.5147,44.9994
2026-05-15T09:00:00Z,149.7473,45.6515
2026-05-15T09:10:00Z,153.0398,46.2431
2026-05-15T09:20:00Z,156.3886,46.771
2026-05-15T09:30:00Z,159.789,47.2324
2026-05-15T09:40:00Z,163.2357,47.6248
2026-05-15T09:50:00Z,166.7222,47.9458
2026-05-15T10:00:00Z,170.2411,48.1935
2026-05-15T10:10:00Z,173.7845,48.3663
2026-05-15T10:20:00Z,177.3438,48.4633
2026-05-15T10:30:00Z,180.9101,48.4837
2026-05-15T10:40:00Z,184.4742,48.4274
2026-05-15T10:50:00Z,188.027,48.2949
2026-05-15T11:00:00Z,191.5598,48.0869
2026-05-15T11:10:00Z,195.0643,47.8048
2026-05-15T11:20:00Z,198.5327,47.4503
2026-05-15T11:30:00Z,201.9582,47.0254
2026-05-15T11:40:00Z,205.3347,46.5328
2026-05-15T11:50:00Z,208.6573,45.975
2026-05-15T12:00:00Z,211.9218,45.3551
2026-05-15T12:10:00Z,215.1251,44.6762
2026-05-15T12:20:00Z,218.2652,43.9414
2026-05-15T12:30:00Z,221.3406,43.1542
2026-05-15T12:40:00Z,224.351,42.3179
2026-05-15T12:50:00Z,227.2964,41.4357
2026-05-15T13:00:00Z,230.1779,40.5111
2026-05-15T13:10:00Z,232.9966,39.5473
2026-05-15T13:20:00Z,235.7545,38.5473
2026-05-15T13:30:00Z,238.4537,37.5144
2026-05-15T13:40:00Z,241.0965,36.4515
2026-05-15T13:50:00Z,243.6857,35.3614
2026-05-15T14:00:00Z,246.224,34.2469
2026-05-15T14:10:00Z,248.7144,33.1106
2026-05-15T14:20:00Z,251.1598,31.9551
2026-05-15T14:30:00Z,253.5631,30.7829
2026-05-15T14:40:00Z,255.9275,29.5963
2026-05-15T14:50:00Z,258.2558,28.3975
2026-05-15T15:00:00Z,260.551,27.1886
2026-05-15T15:10:00Z,262.816,25.9719
2026-05-15T15:20:00Z,265.0535,24.7492
2026-05-15T15:30:00Z,267.2663,23.5226
2026-05-15T15:40:00Z,269.457,22.294
2026-05-15T15:50:00Z,271.6282,21.0651
2026-05-15T16:00:00Z,273.7823,19.8379
2026-05-15T16:10:00Z,275.9219,18.614
2026-05-15T16:20:00Z,278.0491,17.3952
2026-05-15T16:30:00Z,280.1662,16.1833
2026-05-15T16:40:00Z,282.2753,14.98
2026-05-15T16:50:00Z,284.3785,13.7871
2026-05-15T17:00:00Z,286.4778,12.6062
2026-05-15T17:10:00Z,288.575,11.4391
2026-05-15T17:20:00Z,290.6719,10.2878
2026-05-15T17:30:00Z,292.7702,9.1542
2026-05-15T17:40:00Z,294.8715,8.0403
2026-05-15T17:50:00Z,296.9774,6.9483
2026-05-15T18:00:00Z,299.0893,5.8809
2026-05-15T18:10:00Z,301.2085,4.8407
2026-05-15T18:20:00Z,303.3364,3.8338
2026-05-15T18:30:00Z,305.474,2.8635
2026-05-15T18:40:00Z,307.6224,1.9369
2026-05-15T18:50:00Z,309.7825,1.0642
2026-05-15T19:00:00Z,311.9553,0.2577
2026-05-16T02:00:00Z,49.1246,0.7136
2026-05-16T02:10:00Z,51.2887,1.5603
2026-05-16T02:20:00Z,53.4405,2.4661
2026-05-16T02:30:00Z,55.581,3.4197
2026-05-16T02:40:00Z,57.7112,4.4124
2026-05-16T02:50:00Z,59.8322,5.4402
2026-05-16T03:00:00Z,61.9452,6.4973
2026-05-16T03:10:00Z,64.0514,7.5802
2026-05-16T03:20:00Z,66.1524,8.6863
2026-05-16T03:30:00Z,68.2496,9.8131
2026-05-16T03:40:00Z,70.3445,10.9585
2026-05-16T03:50:00Z,72.4388,12.1206
2026-05-16T04:00:00Z,74.5343,13.2975
2026-05-16T04:10:00Z,76.6329,14.4873
2026-05-16T04:20:00Z,78.7363,15.6883
2026-05-16T04:30:00Z,80.8467,16.8987
